x	y	count	population1	population2
101.636562	3.230374	1	C1	red
101.10304	4.043701	1	C1	red
108.940636	12.888134	1	C1	red
103.593459	2.280049	1	C2	blue
113.367072	23.127965	1	C4	orange
102.10604	2.875831	1	C1	red
113.066777	23.680816	1	out	black
110.932403	21.664764	1	C1	red
100.367495	14.004631	1	C1	red
99.558014	14.686258	1	C1	red
101.029798	15.00839	1	C1	red
113.276316	23.195939	1	C4	orange
101.250566	14.256	1	C1	red
108.462306	12.707569	1	C1	red
107.505647	11.548946	1	C1	red
100.661852	16.078566	1	C1	red
101.802485	14.435377	1	C1	red
101.876074	13.537065	1	C1	red
102.979912	15.544182	1	C1	red
108.278333	11.548946	1	C1	red
101.397744	15.864984	1	C1	red
107.947182	11.367459	1	C1	red
99.447631	15.936204	1	C1	red
108.535895	14.829488	1	C1	red
112.770965	23.649308	1	C4	orange
113.562049	23.598452	1	C4	orange
112.642184	22.833239	1	C4	orange
115.153415	24.342321	1	C4	orange
116.177725	24.673926	1	C3	green
120.218097	30.278036	1	C3	green
103.852884	36.060331	1	C4	orange
108.939405	34.333061	1	C3	green
121.585267	25.032561	1	C3	green
108.979649	34.31255	1	C3	green
113.239521	23.183183	1	C4	orange
4.777869	52.216809	1	C1	red
108.020771	13.429032	1	C1	red
2.268363	48.89254	1	out	black
113.847207	23.674728	1	C1	red
102.639562	3.892763	1	C1	red
100.716697	5.446498	1	C1	red
101.434191	4.930019	1	C1	red
114.694506	23.769265	1	C4	orange
114.653112	23.71528	1	C4	orange
114.754298	23.738571	1	C4	orange
114.761197	23.63585	1	C4	orange
113.192953	23.138526	1	C4	orange
114.293988	23.186779	1	C4	orange
110.958472	22.356885	1	C4	orange
113.278615	23.194345	1	C4	orange
79.173462	21.071325	1	C2	blue
78.731927	20.967675	1	C2	blue
107.100906	16.717909	1	C2	blue
4.862381	52.41096	1	C2	blue
114.702681	23.496681	1	C4	orange
113.460864	24.06388	1	C4	orange
112.986909	22.776502	1	C3	green
114.169156	22.275439	1	C3	green
113.758705	23.036354	1	C3	green
113.344363	23.122647	1	C4	orange
113.359104	23.201254	1	C2	blue
108.871565	34.3426	1	C1	red
109.575342	-7.216905	1	C1	red
118.422321	29.869796	1	C3	green
113.350381	23.156527	1	C4	orange
113.286664	23.104492	1	C4	orange
101.489383	4.505461	1	C1	red
101.930918	2.915948	1	C1	red
113.318285	23.097578	1	C4	orange
108.991147	34.236183	1	C4	orange
2.96746	48.060752	1	C2	blue
-65.248915	-33.145193	1	C2	blue
113.157308	23.386338	1	C4	orange
113.383744	23.128231	1	C1	red
113.330933	23.09545	1	C4	orange
113.383744	23.128231	1	C4	orange
112.591591	23.611168	1	C4	orange
113.548251	22.713809	1	C4	orange
113.347605	23.099174	1	C4	orange
110.317306	19.603006	1	C4	orange
113.394173	23.14916	1	C4	orange
102.059699	3.914359	1	C1	red
113.371177	23.097578	1	C4	orange
113.238371	23.184246	1	C4	orange
116.085973	24.27785	1	C4	orange
116.038255	24.294187	1	C4	orange
113.28379	23.201785	1	C4	orange
-65.837629	-33.762078	1	C2	blue
-63.214289	-35.816157	1	C3	green
112.950339	23.352368	1	C4	orange
113.369084	23.144183	1	C1	red
113.443104	23.132352	1	C4	orange
113.442466	23.157135	1	C4	orange
111.980151	21.878292	1	out	black
116.525298	37.909093	1	C3	green
109.98859	22.276535	1	C3	green
113.375776	23.097046	1	C4	orange
112.80316	23.003668	1	C4	orange
113.306786	23.079493	1	C4	orange
113.280628	23.087206	1	C4	orange
108.982523	34.221379	1	C4	orange
113.297013	23.132943	1	C3	green
109.049788	34.24812	1	C4	orange
108.967001	34.206572	1	C4	orange
108.921007	34.250507	1	C4	orange
114.50491	23.4203	1	C1	red
113.800099	23.07679	1	C4	orange
113.851806	23.640833	1	C4	orange
120.137609	30.290012	1	C3	green
112.830756	23.462739	1	C4	orange
103.823564	36.090202	1	C4	orange
103.946596	36.074801	1	C4	orange
120.711015	23.595903	1	C4	orange
103.53183	17.35509	1	C4	orange
113.292413	23.129221	1	C4	orange
112.942308	28.230307	1	C3	green
113.637785	34.752734	1	C3	green
109.236991	18.669678	1	C3	green
103.826187	1.367326	1	C2	blue
