Orthogroup	GQIE.pep	HQIE.pep	PI18.pep	PI19.pep	PI20.pep	S001.pep	S027.pep	S054.pep	S057.pep	S076.pep	S092.pep	S098.pep	S126.pep	S181.pep	S184.pep	S185.pep	T2T.pep
OG0000000	14	1	3	4	4	2	1	1	4	1	0	0	1	0	0	0	766
OG0000001	13	5	11	7	13	8	146	174	10	33	109	33	37	89	52	39	0
OG0000002	7	2	2	1	0	12	15	63	16	108	76	65	164	26	49	114	0
OG0000003	2	0	6	3	8	2	7	150	1	117	72	32	46	45	49	138	0
OG0000004	1	3	9	3	7	8	59	52	11	27	149	33	30	27	99	51	0
OG0000005	2	1	10	14	14	3	51	60	25	70	45	99	55	46	24	39	0
OG0000006	13	1	28	14	33	5	11	64	8	78	48	15	22	58	30	56	2
OG0000007	4	11	1	3	2	10	6	56	21	44	37	40	40	24	68	64	0
OG0000008	1	36	3	0	5	3	44	42	6	19	53	43	54	28	32	32	1
OG0000009	5	46	6	6	9	23	24	24	23	31	34	33	24	28	29	39	4
OG0000010	2	30	6	6	6	9	30	45	11	36	47	29	41	14	13	39	1
OG0000011	18	3	1	1	4	6	26	38	7	36	42	26	30	32	33	44	2
OG0000012	6	1	19	8	16	4	31	37	1	29	38	18	26	36	38	25	15
OG0000013	3	0	0	0	0	5	36	30	6	21	0	18	36	113	7	71	0
OG0000014	38	85	2	0	1	0	18	19	0	23	20	35	17	15	25	25	19
OG0000015	35	4	6	5	7	29	22	27	35	20	21	35	23	15	22	18	5
OG0000016	1	11	0	2	4	7	7	127	5	8	11	71	20	4	20	20	0
OG0000017	2	5	4	5	2	11	13	7	15	108	43	33	24	0	4	21	0
OG0000018	21	6	9	7	8	0	22	8	0	24	15	32	17	14	24	13	67
OG0000019	41	0	2	2	7	3	0	0	0	0	0	0	0	0	0	0	231
OG0000020	11	4	16	15	23	10	11	27	7	19	22	26	11	39	20	21	1
OG0000021	2	13	5	1	7	21	9	25	17	23	24	28	27	25	26	26	1
OG0000022	43	1	6	10	6	43	8	8	73	6	4	10	5	3	6	6	38
OG0000023	0	14	0	1	1	2	72	21	2	32	24	18	32	5	19	32	0
OG0000024	0	0	2	2	0	2	20	30	3	22	47	10	33	53	36	15	0
OG0000025	16	1	65	55	28	19	1	2	70	1	0	8	0	1	1	0	1
OG0000026	28	1	0	0	3	65	7	6	92	12	6	5	4	15	10	9	2
OG0000027	1	1	2	2	2	3	5	9	4	10	7	130	7	31	36	9	0
OG0000028	2	4	8	5	10	2	7	23	4	22	12	13	58	39	7	43	0
OG0000029	4	0	2	1	5	7	1	111	4	13	18	11	2	63	1	11	1
OG0000030	15	32	10	7	12	1	20	20	1	17	18	27	23	15	14	13	2
OG0000031	0	19	2	4	3	5	21	32	7	12	72	16	30	8	5	9	0
OG0000032	1	24	19	0	6	16	16	17	19	14	15	14	18	17	21	15	11
OG0000033	0	3	1	1	0	3	14	27	3	29	28	25	25	25	27	29	1
OG0000034	3	2	0	1	0	1	5	30	0	19	11	39	20	65	9	31	0
OG0000035	0	13	2	1	1	0	2	23	1	25	29	29	17	6	24	62	0
OG0000036	5	13	0	1	0	4	27	1	0	118	3	1	29	15	0	17	0
OG0000037	10	12	26	29	31	27	7	5	14	12	12	12	10	1	9	9	4
OG0000038	1	6	5	1	6	1	0	3	1	0	2	0	157	0	44	1	0
OG0000039	0	18	0	0	9	5	55	34	8	6	6	31	32	0	7	17	0
OG0000040	15	10	2	0	1	9	20	15	9	20	21	28	22	17	18	17	1
OG0000041	36	6	3	1	1	0	13	8	0	8	7	26	8	10	12	8	75
OG0000042	1	9	46	41	21	0	11	11	0	13	8	20	9	15	7	10	0
OG0000043	3	6	38	53	36	16	7	4	16	9	6	9	3	3	4	6	0
OG0000044	4	1	11	5	10	0	32	14	2	15	1	9	38	51	7	14	1
OG0000045	13	10	13	14	13	14	13	12	13	13	12	12	11	10	12	13	10
OG0000046	2	12	1	1	0	16	13	13	18	5	12	11	11	10	7	11	42
OG0000047	142	1	3	6	3	0	1	1	0	0	1	0	0	1	0	0	25
OG0000048	18	3	25	26	23	16	0	2	26	0	3	10	1	5	1	0	22
OG0000049	6	8	57	68	19	0	5	1	0	1	3	2	1	2	2	1	2
OG0000050	7	4	37	30	34	21	3	3	20	2	2	5	2	2	3	1	1
OG0000051	11	11	9	9	9	9	11	11	10	11	11	11	11	11	11	11	9
OG0000052	3	18	0	0	0	15	19	10	15	13	10	2	13	14	10	15	15
OG0000053	10	5	15	13	14	18	7	6	16	12	10	2	9	0	9	10	16
OG0000054	1	22	2	20	2	0	17	13	0	16	9	12	13	14	17	11	2
OG0000055	18	0	3	3	0	21	0	0	22	0	0	0	0	1	0	0	100
OG0000056	8	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	154
OG0000057	42	0	0	0	12	53	0	0	55	0	0	1	1	0	1	0	0
OG0000058	5	16	24	30	22	0	7	4	0	6	6	11	10	10	7	7	0
OG0000059	4	7	19	19	24	8	4	6	7	6	9	7	1	3	4	10	26
OG0000060	10	2	0	0	0	1	5	8	0	31	9	5	77	1	4	9	0
OG0000061	18	0	27	29	28	16	0	3	30	0	0	1	0	0	0	0	9
OG0000062	3	9	0	1	0	6	6	9	4	7	2	76	4	25	5	2	0
OG0000063	11	4	18	22	24	27	5	3	3	3	13	2	0	0	3	1	19
OG0000064	0	7	18	17	17	15	5	7	16	8	8	7	10	6	8	7	1
OG0000065	0	5	0	0	0	8	20	21	6	2	1	2	35	28	2	27	0
OG0000066	4	8	1	1	11	23	8	6	25	7	11	19	4	7	7	8	6
OG0000067	3	12	4	1	22	8	14	10	6	11	10	9	13	8	11	12	1
OG0000068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155
OG0000069	24	5	0	0	0	0	8	15	0	4	9	8	15	11	12	16	26
OG0000070	1	11	13	13	17	3	10	11	4	10	6	18	6	7	8	12	3
OG0000071	1	1	26	25	30	21	3	3	11	3	3	3	4	3	2	4	8
OG0000072	12	20	7	4	1	4	8	3	7	15	13	9	11	20	10	6	1
